speciesId,phylum,class,subclass,order,sub-order,infraorder,section,subsection,superfamily,family,subfamily,tribe,genus,subgenus,species,subspecies,taxonName,cleanup changes,source_file,Data cleanup changes,Unnamed: 17,subphylum,taxon,Unnamed: 19,14, speciesId,data cleanup changes,query,issue,query ,superorder,domain ,kingdom,Unnamed: 16,Unnamed: 18,section/parvorder,changes,Column,Column2,Column3,Column4,Column5,Column6,Column7,infraclass,commonName,Unnamed: 21,subphylum ,cleanup changes/comments,species2,Column8,Column9,cleanup changes ,Unnamed: 22,Unnamed: 20,clade 1,clade 2,clade 3,Unnamed: 23
A-Arth-Arac-Aran-000018,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Trachelidae,,,Utivarachna,,,,"<i>Utivarachna</i> sp. ""ZRC_BDP0061159""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,misspelt genus: Utivarachne changed to Utivarachna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000019,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Zodariidae,,,,,,,"Zodariidae sp. ""ZRC_BDP0050079""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000020,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Zodariidae,,,Asceua,,,,"<i>Asceua</i> sp. ""ZRC_BDP0060980 / ZRC_BDP0061144""",,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000021,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Argiope,,aemula,,<i>Argiope aemula</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000022,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Cyrtophora,,unicolor,,<i>Cyrtophora unicolor</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000023,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Nephila,,pilipes,,<i>Nephila pilipes,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000024,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Nephila,,antipodiana,,<i>Nephila antipodiana</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000025,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Thomisidae,,,Amyciaea,,lineatipes,,<i>Amyciaea lineatipes</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000026,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Argiope,,versicolor,,<i>Argiope versicolor</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000027,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Zodariidae,,,Cryptothele,,sundaica,,<i>Cryptothele sundaica</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000028,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Cyclosa,,bifida,,<i>Cyclosa bifida</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000029,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Gasteracantha,,hasselti,,<i>Gasteracantha hasselti</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000030,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Sparassidae,,,Heteropoda,,venatoria,,<i>Heteropoda venatoria</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000031,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Lipocrea,,fusiformis,,<i>Lipocrea fusiformis</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000032,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Omoedus,,ephippigera,,<i>Omoedus ephippigera</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000033,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Thomisidae,,,Phrynarachne,,ceylonica,,<i>Phrynarachne ceylonica</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000034,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Scytodidae,,,Scytodes,,fusca,,<i>Scytodes fusca</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000035,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Tetragnathidae,,,Tetragnatha,,hasselti,,<i>Tetragnatha hasselti</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000036,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Viciria,,praemandibularis,,<i>Viciria praemandibularis</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000037,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Hersiliidae,,,Hersilia,,deelemanae,,<i>Hersilia deelemanae</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000038,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Theridiidae,,,Argyrodes,,flavescens,,<i>Argyrodes flavescens</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000039,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Thomisidae,,,Thomisus,,stoliczkai,,<i>Thomisus stoliczkai</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000040,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Tetragnathidae,,,Leucauge,,decorata,,<i>Leucauge decorata </i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000041,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Hersiliidae,,,Hersilia,,sumatrana,,<i>Hersilia sumatrana</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000042,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Thomisidae,,,Oxytate,,virens,,<i>Oxytate virens</i> ,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000043,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Herennia,,multipuncta,,<i>Herennia multipuncta</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000044,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Scytodidae,,,Scytodes,,pallida,,<i>Scytodes pallida</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000045,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Lycosidae,,,Hippasa,,holmerae,,<i>Hippasa holmerae</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000046,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Desidae,,,Desis,,martensi,,<i>Desis martensi</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000047,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Thomisidae,,,Camaricus,,maugei,,<i>Camaricus maugei</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000048,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Argiope,,catenulata,,<i>Argiope catenulata</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000049,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Desidae,,,Desis,,,,<i>Desis</i> cf. <i>martensi</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000050,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Tetragnathidae,,,Tetragnatha,,mandibulata,,<i>Tetragnatha mandibulata</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000051,Arthropoda,Arachnida,,Araneae,,,,,,,,,,,,,Araneae sp. ZRC_BDP0072018,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000052,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Tetragnathidae,,,Tetragnatha,,josephi,,<i>Tetragnatha josephi</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000053,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Neoscona,,vigilans,,<i>Neoscona vigilans</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000054,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Zygiella,,calyptrata,,<i>Zygiella calyptrata</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000055,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Theridiidae,,,Latrodectus,,geometricus,,<i>Latrodectus geometricus</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000056,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Theridiidae,,,Dipoena,,,,<i>Dipoena</i> sp.,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000057,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Pisauridae,,,Hygropoda,,,,<i>Hygropoda</i> sp.,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000058,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Tetragnathidae,,,Tylorida,,ventralis,,<i>Tylorida ventralis</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000059,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Araneus,,mitificus,,<i>Araneus mitificus</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000060,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Pholcidae,,,Pholcus,,halabala,,<i>Pholcus halabala</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000061,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Salticidae,,,Menemerus,,bivittatus,,<i>Menemerus bivittatus</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000062,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Thomisidae,,,Thomisus,,nepenthiphilus,,<i>Thomisus nepenthiphilus</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000063,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Thomisidae,,,Misumenops,,nepenthicola,,<i>Misumenops nepenthicola</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000064,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Zodariidae,,,Mallinella,,annulipes,,<i>Mallinella annulipes</i>,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A-Arth-Arac-Aran-000065,Arthropoda,Arachnida,,Araneae,,Araneomorphae,,,,Araneidae,,,Singa,,perpolita,,<i>Singa perpolita</i> ,,(back+checked) Database - A-Arth-Arac-Araneae.xlsx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
